"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene" "mgi_description"
5.97959872712595e-237 0.720476506854425 0.598 0.092 1.12631721624144e-232 "7" "Acta2" "actin alpha 2, smooth muscle, aorta"
8.12517668098625e-223 1.26031299064548 0.785 0.185 1.53045827963057e-218 "7" "Mfap4" "microfibrillar-associated protein 4"
1.08899754761197e-194 0.558493015116259 0.804 0.182 2.0512357806819e-190 "7" "Col3a1" "collagen, type III, alpha 1"
1.27761344650157e-192 0.94543007650767 0.771 0.194 2.40651268783036e-188 "7" "Eln" "elastin"
3.55611544400546e-192 0.824850982820937 0.584 0.108 6.69829905032869e-188 "7" "Tagln" "transgelin"
6.29399645235606e-183 0.682873494100504 0.561 0.099 1.18553717176579e-178 "7" "Mdk" "midkine"
2.44167101610346e-176 0.575537079107582 0.462 0.071 4.59913152593248e-172 "7" "Tnc" "tenascin C"
8.77794034166226e-126 0.951916283357856 0.811 0.33 1.6534128427555e-121 "7" "Gm38733" NA
4.66373616326894e-125 0.733348393833579 0.381 0.071 8.78461343713337e-121 "7" "Bpgm" "2,3-bisphosphoglycerate mutase"
5.85424025595954e-92 0.847534070654104 0.753 0.326 1.10270469461254e-87 "7" "Lgals1" "lectin, galactose binding, soluble 1"
1.38343556547056e-89 0.732688796373297 0.878 0.447 2.60583923112035e-85 "7" "Sparc" "secreted acidic cysteine rich glycoprotein"
8.56151002773597e-84 0.618240389325646 0.552 0.182 1.61264602882435e-79 "7" "Nrep" "neuronal regeneration related protein"
1.8101190030683e-76 -1.05714296024805 0.827 0.418 3.40954015417945e-72 "7" "Sftpc" "surfactant associated protein C"
6.49337422138125e-61 0.676510975293211 0.979 0.835 1.22309196833937e-56 "7" "Tmsb10" "thymosin, beta 10"
6.88491546954727e-59 0.57309387025463 0.626 0.289 1.29684267784392e-54 "7" "Csrp1" "cysteine and glycine-rich protein 1"
6.92120831573639e-46 0.329063469961333 0.566 0.244 1.30367879835211e-41 "7" "Igfbp7" "insulin-like growth factor binding protein 7"
1.21882000715714e-45 -0.360872167136647 0.316 0.098 2.29576936548119e-41 "7" "Lyz1" "lysozyme 1"
4.91920460100688e-36 -1.51088151608306 0.522 0.208 9.26581378645657e-32 "7" "Sftpa1" "surfactant associated protein A1"
4.19149730748359e-20 -1.23408314457906 0.402 0.177 7.89510432837608e-16 "7" "Slc34a2" "solute carrier family 34 (sodium phosphate), member 2"
4.68766782762652e-17 -0.924406578920982 0.194 0.364 8.82969112011732e-13 "7" "Ctss" "cathepsin S"
2.33688950560281e-15 -2.04797249304164 0.455 0.513 4.40176507275346e-11 "7" "Cd74" "CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
3.29466036608520e-11 -0.937486763704061 0.494 0.598 6.20582226555809e-07 "7" "Psap" "prosaposin"
1.10940605958564e-06 -0.73935953565133 0.358 0.21 0.0208967725383551 "7" "Wfdc2" "WAP four-disulfide core domain 2"
0 2.66318883459509 0.993 0.194 0 "8" "Sftpa1" "surfactant associated protein A1"
0 2.43096623482903 0.963 0.16 0 "8" "Slc34a2" "solute carrier family 34 (sodium phosphate), member 2"
0 2.29537985607171 0.983 0.141 0 "8" "Sftpd" "surfactant associated protein D"
0 2.11697390138116 0.934 0.192 0 "8" "Cbr2" "carbonyl reductase 2"
0 2.04183931032726 0.985 0.19 0 "8" "Wfdc2" "WAP four-disulfide core domain 2"
0 1.83291586409246 0.946 0.133 0 "8" "Lamp3" "lysosomal-associated membrane protein 3"
0 1.75735353228854 0.848 0.12 0 "8" "Hc" "hemolytic complement"
0 1.31931840607009 0.878 0.135 0 "8" "Nkx2-1" "NK2 homeobox 1"
1.78726770567829e-291 1.51308559711675 0.939 0.198 3.36649745041562e-287 "8" "Cldn18" "claudin 18"
3.51950347872506e-262 1.64001675039123 0.936 0.246 6.62933675252652e-258 "8" "Lpcat1" "lysophosphatidylcholine acyltransferase 1"
8.28579050433369e-238 2.88651807199345 0.995 0.413 1.56071149939629e-233 "8" "Sftpc" "surfactant associated protein C"
1.37218640885704e-236 1.08263050230863 0.623 0.097 2.58465031972312e-232 "8" "Bex2" "brain expressed X-linked 2"
1.40905385417061e-205 1.20835565678967 0.834 0.204 2.65409383971577e-201 "8" "Fabp5" "fatty acid binding protein 5, epidermal"
1.20042353867372e-97 0.743223235245296 0.873 0.425 2.26111777744582e-93 "8" "Bsg" "basigin"
3.06715386081649e-84 1.56049833131262 0.394 0.096 5.77729101223395e-80 "8" "Lyz1" "lysozyme 1"
6.69881932625018e-68 -1.45864186697158 0.597 0.848 1.26178960829248e-63 "8" "Tmsb10" "thymosin, beta 10"
1.39098343557733e-49 -1.41685959271879 0.257 0.606 2.62005639925346e-45 "8" "Psap" "prosaposin"
4.20748194295821e-35 0.334412856243276 0.741 0.429 7.92521298775608e-31 "8" "Selenop" "selenoprotein P"
1.93189467673446e-33 0.270337875969154 0.809 0.523 3.63891681309702e-29 "8" "Prdx1" "peroxiredoxin 1"
2.48201860507928e-31 -1.09996157832031 0.093 0.367 4.67513024452734e-27 "8" "Ctss" "cathepsin S"
4.02655423123003e-23 -0.272872321170563 0.592 0.327 7.58441754994489e-19 "8" "Apoe" "apolipoprotein E"
